id;start_date;end_date;language
1;2022-05-16T10:02:22;2022-05-16T07:52:37;ENGLISH
2;2022-05-15T19:29:57;2022-05-16T04:55:26;FRENCH
3;2022-05-16T05:26:09;2022-05-15T17:31:17;SPANISH
4;2022-05-16T09:56:58;2022-05-15T15:23:17;FRENCH
5;2022-05-16T12:13:21;2022-05-15T20:32:19;ENGLISH
6;2022-05-15T21:44:04;2022-05-16T11:44:24;SPANISH
7;2022-05-16T05:47:52;2022-05-15T16:22:01;FRENCH
8;2022-05-15T20:13:45;2022-05-15T16:49:34;FRENCH
9;2022-05-15T21:05:23;2022-05-16T08:36:49;FRENCH
10;2022-05-15T17:02:21;2022-05-16T09:59:50;FRENCH
